year_month,mean_temp,median_temp,var_temp,min_temp,max_temp,mean_prcp,median_prcp,var_prcp,min_prcp,max_prcp
1973-02,51.23879781420766,54.0,258.1249150303248,14.0,86.4,0.11092592592592591,0.0,0.1110569013112491,0.0,1.81
1973-03,56.6843137254902,56.8,80.22291021671819,34.8,75.2,0.2103053435114504,0.0,0.2750722137404581,0.0,3.15
1973-04,58.834722222222226,60.95,110.77528943278944,31.1,80.1,0.1830534351145038,0.0,0.3288921432765709,0.0,4.33
1973-05,68.64285714285714,67.2,88.44034632034642,46.4,87.5,0.13913385826771651,0.0,0.2764857517810273,0.0,5.51
1973-06,75.89772727272727,76.44999999999999,38.93884535005225,63.0,86.2,0.12921052631578947,0.0,0.14685803508771927,0.0,2.01
1973-07,76.69402985074628,77.6,38.83663048394386,65.6,86.7,0.03919354838709678,0.0,0.014525568482284503,0.0,0.71
1973-08,74.40487804878049,73.4,27.165975609756153,66.7,85.0,0.0,0.0,0.0,0.0,0.0
1973-09,74.41891891891892,75.3,47.98990990990989,64.4,84.3,0.0,0.0,0.0,0.0,0.0
1973-10,69.845,68.25,38.556897435897326,58.0,81.8,0.0,0.0,0.0,0.0,0.0
1973-11,64.14358974358974,63.5,27.65620782726045,54.0,78.6,0.0,0.0,0.0,0.0,0.0
1973-12,56.24848484848485,57.0,81.97382575757568,34.0,70.3,0.0,0.0,0.0,0.0,0.0
1974-01,44.86679245283019,51.0,561.8659385363068,-17.6,74.6,0.045933014354066985,0.0,0.038111745491350775,0.0,1.97
1974-02,45.10084745762712,47.6,308.8142971510999,-1.9,73.7,0.045314009661835755,0.0,0.05129395431733971,0.0,2.05
1974-03,55.068503937007875,60.3,319.04935980828486,8.0,85.8,0.043744292237442924,0.0,0.03647765908424448,0.0,2.17
1974-04,57.905309734513274,61.650000000000006,260.5712605703048,6.5,85.4,0.042408376963350786,0.0,0.0445236428768256,0.0,2.52
1974-05,68.52634408602151,71.55,189.7109238593433,35.6,97.0,0.021895424836601306,0.0,0.010000988992088062,0.0,1.02
1974-06,73.18372093023257,75.1,169.09246729651156,32.5,98.0,0.03734693877551021,0.0,0.017898043341047755,0.0,0.94
1974-07,82.70892857142857,81.95,27.728928571428586,70.2,100.0,0.013580246913580249,0.0,0.003003271604938272,0.0,0.31
1974-08,77.29622641509434,78.85,38.96760467205744,58.9,91.0,0.05415584415584415,0.0,0.03488250170881749,0.0,1.14
1974-09,66.99450549450549,66.8,83.42563614163613,47.5,84.6,0.05183333333333333,0.0,0.08996098870056493,0.0,2.28
1974-10,62.96373626373626,62.6,83.84344810744815,41.6,79.7,0.04380281690140845,0.0,0.02516676056338028,0.0,0.91
1974-11,47.287323943661974,47.3,101.35597987927562,25.6,69.9,0.02480769230769231,0.0,0.005825452488687784,0.0,0.35
1974-12,36.45967741935484,36.5,95.71818350079327,16.9,62.8,0.027499999999999997,0.0,0.007732051282051283,0.0,0.47
1975-01,46.92208588957055,49.8,573.6776030202931,-7.7,85.7,0.008345070422535211,0.0,0.0018173928731398995,0.0,0.43
1975-02,47.55384615384615,49.55,559.378763294583,-16.4,89.7,0.010112359550561799,0.0,0.0035101377038100866,0.0,0.67
1975-03,50.44761904761905,52.05,420.95617341862135,-6.3,81.4,0.03909395973154363,0.0,0.17734564097349326,0.0,7.2
1975-04,57.77572254335261,57.3,292.1581335343888,11.1,88.1,0.013914473684210527,0.0,0.006247002562098321,0.0,0.91
